,short_trend,long_trend,arima
2024-05-24,282.0,282.0,282.0
2024-05-25,282.4309118193604,282.7693365678967,282.192804498083
2024-05-26,282.8624820961537,283.54077199662566,282.4235968655501
2024-05-27,283.2947118365397,284.31431201218123,282.61401958690766
2024-05-28,283.72760204821583,285.089962356179,282.7873607184068
2024-05-29,284.1611537404193,285.86772878589846,282.95561436785346
2024-05-30,284.59536792392936,286.6476170743261,283.1225445870027
2024-05-31,285.0302456110699,287.42963301019745,283.28915495434353
2024-06-01,285.46578781571185,288.213782398041,283.4556915779609
2024-06-02,285.90199555327507,289.00007105822056,283.62221175795645
2024-06-03,286.33886984073126,289.78850482697885,283.7887283631403
2024-06-04,286.7764116966059,290.57908955648065,283.95524420678464
2024-06-05,287.2146221409813,291.37183111485626,284.1217598909229
2024-06-06,287.6535021954979,292.16673538624525,284.28827554213706
2024-06-07,288.0930528833577,292.9638082708397,284.4547911866431
